subject,strEnc,cerEnc,task,targetParam,accuracy
A1,width,blur,vs,1,1
A1,width,blur,vs,5,1
A1,width,blur,vs,3,0
A1,width,blur,cp,LM,0
A1,width,blur,cp,LH,1
A1,width,blur,cp,MH,0
A1,width,trans,cp,MH,1
A1,width,trans,cp,LH,1
A1,width,trans,cp,LM,1
A1,width,trans,vs,5,1
A1,width,trans,vs,3,1
A1,width,trans,vs,1,1
A1,width,value,vs,3,0
A1,width,value,vs,5,1
A1,width,value,vs,1,1
A1,width,value,cp,LH,1
A1,width,value,cp,MH,1
A1,width,value,cp,LM,1
A1,sat,blur,cp,MH,1
A1,sat,blur,cp,LM,1
A1,sat,blur,cp,LH,1
A1,sat,blur,vs,5,0
A1,sat,blur,vs,1,0
A1,sat,blur,vs,3,1
A1,width,grain,vs,5,1
A1,width,grain,vs,1,1
A1,width,grain,vs,3,1
A1,width,grain,cp,LH,1
A1,width,grain,cp,MH,1
A1,width,grain,cp,LM,1
A1,sat,trans,cp,LM,0
A1,sat,trans,cp,LH,1
A1,sat,trans,cp,MH,1
A1,sat,trans,vs,3,0
A1,sat,trans,vs,5,1
A1,sat,trans,vs,1,1
A1,sat,value,vs,1,1
A1,sat,value,vs,5,0
A1,sat,value,vs,3,0
A1,sat,value,cp,MH,1
A1,sat,value,cp,LM,1
A1,sat,value,cp,LH,1
A1,hue,blur,cp,LM,1
A1,hue,blur,cp,LH,1
A1,hue,blur,cp,MH,1
A1,hue,blur,vs,5,1
A1,hue,blur,vs,1,1
A1,hue,blur,vs,3,0
A1,sat,grain,vs,3,0
A1,sat,grain,vs,5,1
A1,sat,grain,vs,1,1
A1,sat,grain,cp,MH,1
A1,sat,grain,cp,LM,1
A1,sat,grain,cp,LH,1
A1,hue,trans,cp,LH,1
A1,hue,trans,cp,MH,1
A1,hue,trans,cp,LM,1
A1,hue,trans,vs,1,0
A1,hue,trans,vs,5,1
A1,hue,trans,vs,3,1
A1,hue,value,vs,5,0
A1,hue,value,vs,3,1
A1,hue,value,vs,1,1
A1,hue,value,cp,MH,0
A1,hue,value,cp,LH,1
A1,hue,value,cp,LM,1
A1,hue,grain,cp,LH,1
A1,hue,grain,cp,LM,1
A1,hue,grain,cp,MH,1
A1,hue,grain,vs,1,1
A1,hue,grain,vs,3,0
A1,hue,grain,vs,5,1
A2,width,blur,cp,LM,1
A2,width,blur,cp,LH,1
A2,width,blur,cp,MH,1
A2,width,blur,vs,1,1
A2,width,blur,vs,3,1
A2,width,blur,vs,5,1
A2,width,trans,vs,5,1
A2,width,trans,vs,1,1
A2,width,trans,vs,3,0
A2,width,trans,cp,MH,1
A2,width,trans,cp,LH,1
A2,width,trans,cp,LM,1
A2,width,value,cp,LM,1
A2,width,value,cp,LH,1
A2,width,value,cp,MH,1
A2,width,value,vs,1,1
A2,width,value,vs,3,0
A2,width,value,vs,5,1
A2,sat,blur,vs,3,1
A2,sat,blur,vs,1,1
A2,sat,blur,vs,5,0
A2,sat,blur,cp,LM,1
A2,sat,blur,cp,MH,0
A2,sat,blur,cp,LH,1
A2,width,grain,cp,MH,1
A2,width,grain,cp,LM,1
A2,width,grain,cp,LH,1
A2,width,grain,vs,3,1
A2,width,grain,vs,1,0
A2,width,grain,vs,5,1
A2,sat,trans,vs,5,1
A2,sat,trans,vs,3,0
A2,sat,trans,vs,1,1
A2,sat,trans,cp,LM,1
A2,sat,trans,cp,MH,1
A2,sat,trans,cp,LH,1
A2,sat,value,cp,LH,1
A2,sat,value,cp,LM,1
A2,sat,value,cp,MH,1
A2,sat,value,vs,1,1
A2,sat,value,vs,5,1
A2,sat,value,vs,3,0
A2,hue,blur,vs,3,0
A2,hue,blur,vs,1,0
A2,hue,blur,vs,5,1
A2,hue,blur,cp,LH,1
A2,hue,blur,cp,MH,1
A2,hue,blur,cp,LM,1
A2,sat,grain,cp,MH,0
A2,sat,grain,cp,LM,1
A2,sat,grain,cp,LH,1
A2,sat,grain,vs,1,1
A2,sat,grain,vs,5,1
A2,sat,grain,vs,3,1
A2,hue,trans,vs,1,0
A2,hue,trans,vs,5,1
A2,hue,trans,vs,3,1
A2,hue,trans,cp,MH,1
A2,hue,trans,cp,LM,1
A2,hue,trans,cp,LH,1
A2,hue,value,cp,LH,1
A2,hue,value,cp,LM,1
A2,hue,value,cp,MH,1
A2,hue,value,vs,1,1
A2,hue,value,vs,5,0
A2,hue,value,vs,3,1
A2,hue,grain,vs,1,1
A2,hue,grain,vs,5,1
A2,hue,grain,vs,3,1
A2,hue,grain,cp,LM,1
A2,hue,grain,cp,MH,1
A2,hue,grain,cp,LH,1
A3,width,trans,vs,5,1
A3,width,trans,vs,3,0
A3,width,trans,vs,1,1
A3,width,trans,cp,LH,1
A3,width,trans,cp,MH,1
A3,width,trans,cp,LM,1
A3,sat,blur,cp,LH,1
A3,sat,blur,cp,LM,1
A3,sat,blur,cp,MH,1
A3,sat,blur,vs,3,0
A3,sat,blur,vs,5,1
A3,sat,blur,vs,1,0
A3,width,blur,vs,5,1
A3,width,blur,vs,1,0
A3,width,blur,vs,3,1
A3,width,blur,cp,LM,0
A3,width,blur,cp,LH,1
A3,width,blur,cp,MH,1
A3,sat,trans,cp,LH,1
A3,sat,trans,cp,MH,0
A3,sat,trans,cp,LM,1
A3,sat,trans,vs,1,1
A3,sat,trans,vs,5,0
A3,sat,trans,vs,3,1
A3,width,value,vs,5,0
A3,width,value,vs,3,1
A3,width,value,vs,1,1
A3,width,value,cp,LM,1
A3,width,value,cp,LH,1
A3,width,value,cp,MH,1
A3,hue,blur,cp,MH,1
A3,hue,blur,cp,LH,1
A3,hue,blur,cp,LM,1
A3,hue,blur,vs,5,1
A3,hue,blur,vs,1,1
A3,hue,blur,vs,3,0
A3,width,grain,vs,1,1
A3,width,grain,vs,5,1
A3,width,grain,vs,3,0
A3,width,grain,cp,LM,1
A3,width,grain,cp,MH,1
A3,width,grain,cp,LH,1
A3,hue,trans,cp,LH,1
A3,hue,trans,cp,LM,1
A3,hue,trans,cp,MH,1
A3,hue,trans,vs,3,0
A3,hue,trans,vs,1,1
A3,hue,trans,vs,5,0
A3,sat,value,vs,5,0
A3,sat,value,vs,3,0
A3,sat,value,vs,1,1
A3,sat,value,cp,LM,1
A3,sat,value,cp,MH,1
A3,sat,value,cp,LH,1
A3,hue,grain,cp,LM,1
A3,hue,grain,cp,LH,1
A3,hue,grain,cp,MH,1
A3,hue,grain,vs,1,1
A3,hue,grain,vs,3,0
A3,hue,grain,vs,5,1
A3,sat,grain,vs,3,0
A3,sat,grain,vs,5,1
A3,sat,grain,vs,1,1
A3,sat,grain,cp,MH,1
A3,sat,grain,cp,LM,1
A3,sat,grain,cp,LH,1
A3,hue,value,cp,MH,1
A3,hue,value,cp,LH,1
A3,hue,value,cp,LM,1
A3,hue,value,vs,3,0
A3,hue,value,vs,1,1
A3,hue,value,vs,5,1
A4,sat,blur,vs,5,1
A4,sat,blur,vs,3,0
A4,sat,blur,vs,1,0
A4,sat,blur,cp,LM,0
A4,sat,blur,cp,LH,1
A4,sat,blur,cp,MH,1
A4,sat,trans,cp,LH,1
A4,sat,trans,cp,LM,1
A4,sat,trans,cp,MH,0
A4,sat,trans,vs,1,1
A4,sat,trans,vs,3,0
A4,sat,trans,vs,5,1
A4,width,trans,vs,1,1
A4,width,trans,vs,5,1
A4,width,trans,vs,3,1
A4,width,trans,cp,LH,1
A4,width,trans,cp,LM,1
A4,width,trans,cp,MH,1
A4,hue,blur,cp,LM,1
A4,hue,blur,cp,MH,1
A4,hue,blur,cp,LH,1
A4,hue,blur,vs,3,0
A4,hue,blur,vs,1,1
A4,hue,blur,vs,5,0
A4,width,blur,vs,3,1
A4,width,blur,vs,1,0
A4,width,blur,vs,5,1
A4,width,blur,cp,LH,1
A4,width,blur,cp,MH,1
A4,width,blur,cp,LM,0
A4,hue,trans,cp,LH,1
A4,hue,trans,cp,MH,1
A4,hue,trans,cp,LM,1
A4,hue,trans,vs,3,1
A4,hue,trans,vs,5,1
A4,hue,trans,vs,1,1
A4,width,value,vs,3,0
A4,width,value,vs,1,1
A4,width,value,vs,5,1
A4,width,value,cp,MH,1
A4,width,value,cp,LH,1
A4,width,value,cp,LM,1
A4,hue,grain,cp,LH,1
A4,hue,grain,cp,LM,0
A4,hue,grain,cp,MH,1
A4,hue,grain,vs,3,1
A4,hue,grain,vs,1,1
A4,hue,grain,vs,5,1
A4,width,grain,vs,5,1
A4,width,grain,vs,3,0
A4,width,grain,vs,1,1
A4,width,grain,cp,MH,1
A4,width,grain,cp,LM,1
A4,width,grain,cp,LH,1
A4,hue,value,cp,MH,0
A4,hue,value,cp,LM,1
A4,hue,value,cp,LH,0
A4,hue,value,vs,5,1
A4,hue,value,vs,1,0
A4,hue,value,vs,3,1
A4,sat,value,vs,5,1
A4,sat,value,vs,1,0
A4,sat,value,vs,3,0
A4,sat,value,cp,MH,1
A4,sat,value,cp,LM,1
A4,sat,value,cp,LH,1
A4,sat,grain,cp,LH,1
A4,sat,grain,cp,MH,1
A4,sat,grain,cp,LM,1
A4,sat,grain,vs,3,0
A4,sat,grain,vs,5,1
A4,sat,grain,vs,1,1
A5,width,trans,cp,LM,1
A5,width,trans,cp,LH,1
A5,width,trans,cp,MH,1
A5,width,trans,vs,5,1
A5,width,trans,vs,3,1
A5,width,trans,vs,1,0
A5,sat,blur,vs,3,0
A5,sat,blur,vs,1,0
A5,sat,blur,vs,5,1
A5,sat,blur,cp,LH,1
A5,sat,blur,cp,LM,0
A5,sat,blur,cp,MH,1
A5,width,blur,cp,MH,1
A5,width,blur,cp,LH,0
A5,width,blur,cp,LM,0
A5,width,blur,vs,3,0
A5,width,blur,vs,5,0
A5,width,blur,vs,1,1
A5,sat,trans,vs,1,0
A5,sat,trans,vs,5,0
A5,sat,trans,vs,3,1
A5,sat,trans,cp,LM,1
A5,sat,trans,cp,MH,0
A5,sat,trans,cp,LH,1
A5,width,value,cp,LM,1
A5,width,value,cp,LH,1
A5,width,value,cp,MH,1
A5,width,value,vs,1,1
A5,width,value,vs,5,0
A5,width,value,vs,3,0
A5,hue,blur,vs,1,0
A5,hue,blur,vs,5,1
A5,hue,blur,vs,3,0
A5,hue,blur,cp,LM,1
A5,hue,blur,cp,LH,1
A5,hue,blur,cp,MH,1
A5,width,grain,cp,LM,0
A5,width,grain,cp,LH,0
A5,width,grain,cp,MH,1
A5,width,grain,vs,1,1
A5,width,grain,vs,3,1
A5,width,grain,vs,5,1
A5,hue,trans,vs,5,0
A5,hue,trans,vs,3,1
A5,hue,trans,vs,1,1
A5,hue,trans,cp,LM,1
A5,hue,trans,cp,LH,1
A5,hue,trans,cp,MH,1
A5,sat,value,cp,LM,1
A5,sat,value,cp,LH,0
A5,sat,value,cp,MH,1
A5,sat,value,vs,3,0
A5,sat,value,vs,5,0
A5,sat,value,vs,1,1
A5,hue,grain,vs,1,1
A5,hue,grain,vs,3,1
A5,hue,grain,vs,5,1
A5,hue,grain,cp,LM,1
A5,hue,grain,cp,LH,1
A5,hue,grain,cp,MH,1
A5,sat,grain,cp,MH,1
A5,sat,grain,cp,LH,1
A5,sat,grain,cp,LM,1
A5,sat,grain,vs,1,1
A5,sat,grain,vs,5,1
A5,sat,grain,vs,3,1
A5,hue,value,vs,1,0
A5,hue,value,vs,3,0
A5,hue,value,vs,5,1
A5,hue,value,cp,LM,1
A5,hue,value,cp,LH,1
A5,hue,value,cp,MH,1
A6,sat,trans,vs,3,1
A6,sat,trans,vs,5,1
A6,sat,trans,vs,1,1
A6,sat,trans,cp,LH,1
A6,sat,trans,cp,MH,1
A6,sat,trans,cp,LM,1
A6,hue,blur,cp,LM,0
A6,hue,blur,cp,MH,0
A6,hue,blur,cp,LH,1
A6,hue,blur,vs,1,1
A6,hue,blur,vs,5,1
A6,hue,blur,vs,3,0
A6,sat,blur,vs,3,0
A6,sat,blur,vs,1,1
A6,sat,blur,vs,5,1
A6,sat,blur,cp,LM,1
A6,sat,blur,cp,LH,1
A6,sat,blur,cp,MH,1
A6,hue,trans,cp,MH,1
A6,hue,trans,cp,LM,1
A6,hue,trans,cp,LH,1
A6,hue,trans,vs,5,0
A6,hue,trans,vs,3,1
A6,hue,trans,vs,1,1
A6,width,trans,vs,5,1
A6,width,trans,vs,3,0
A6,width,trans,vs,1,0
A6,width,trans,cp,LM,1
A6,width,trans,cp,LH,1
A6,width,trans,cp,MH,1
A6,hue,grain,cp,LM,1
A6,hue,grain,cp,LH,1
A6,hue,grain,cp,MH,1
A6,hue,grain,vs,5,1
A6,hue,grain,vs,1,1
A6,hue,grain,vs,3,1
A6,width,blur,vs,1,1
A6,width,blur,vs,5,1
A6,width,blur,vs,3,0
A6,width,blur,cp,LM,1
A6,width,blur,cp,MH,1
A6,width,blur,cp,LH,1
A6,hue,value,cp,LM,0
A6,hue,value,cp,LH,1
A6,hue,value,cp,MH,0
A6,hue,value,vs,1,1
A6,hue,value,vs,3,0
A6,hue,value,vs,5,0
A6,width,value,vs,5,0
A6,width,value,vs,1,1
A6,width,value,vs,3,0
A6,width,value,cp,LH,1
A6,width,value,cp,LM,1
A6,width,value,cp,MH,0
A6,sat,grain,cp,MH,1
A6,sat,grain,cp,LM,1
A6,sat,grain,cp,LH,1
A6,sat,grain,vs,1,0
A6,sat,grain,vs,3,1
A6,sat,grain,vs,5,1
A6,width,grain,vs,5,1
A6,width,grain,vs,3,0
A6,width,grain,vs,1,1
A6,width,grain,cp,LM,1
A6,width,grain,cp,LH,1
A6,width,grain,cp,MH,0
A6,sat,value,cp,MH,1
A6,sat,value,cp,LM,1
A6,sat,value,cp,LH,1
A6,sat,value,vs,5,1
A6,sat,value,vs,1,1
A6,sat,value,vs,3,1
A7,sat,blur,cp,LH,0
A7,sat,blur,cp,LM,0
A7,sat,blur,cp,MH,0
A7,sat,blur,vs,3,1
A7,sat,blur,vs,5,1
A7,sat,blur,vs,1,0
A7,sat,trans,vs,3,1
A7,sat,trans,vs,5,1
A7,sat,trans,vs,1,1
A7,sat,trans,cp,LH,0
A7,sat,trans,cp,LM,0
A7,sat,trans,cp,MH,1
A7,width,trans,cp,LH,0
A7,width,trans,cp,LM,0
A7,width,trans,cp,MH,0
A7,width,trans,vs,5,0
A7,width,trans,vs,3,0
A7,width,trans,vs,1,1
A7,hue,blur,vs,5,1
A7,hue,blur,vs,1,1
A7,hue,blur,vs,3,1
A7,hue,blur,cp,LM,0
A7,hue,blur,cp,MH,0
A7,hue,blur,cp,LH,0
A7,width,blur,cp,MH,0
A7,width,blur,cp,LM,0
A7,width,blur,cp,LH,0
A7,width,blur,vs,5,1
A7,width,blur,vs,3,1
A7,width,blur,vs,1,0
A7,hue,trans,vs,3,0
A7,hue,trans,vs,1,1
A7,hue,trans,vs,5,1
A7,hue,trans,cp,LM,0
A7,hue,trans,cp,LH,0
A7,hue,trans,cp,MH,0
A7,width,value,cp,MH,1
A7,width,value,cp,LH,0
A7,width,value,cp,LM,0
A7,width,value,vs,1,1
A7,width,value,vs,5,1
A7,width,value,vs,3,0
A7,hue,grain,vs,3,1
A7,hue,grain,vs,5,1
A7,hue,grain,vs,1,1
A7,hue,grain,cp,LH,0
A7,hue,grain,cp,MH,0
A7,hue,grain,cp,LM,0
A7,width,grain,cp,MH,0
A7,width,grain,cp,LM,0
A7,width,grain,cp,LH,0
A7,width,grain,vs,1,1
A7,width,grain,vs,3,1
A7,width,grain,vs,5,1
A7,hue,value,vs,3,0
A7,hue,value,vs,5,1
A7,hue,value,vs,1,0
A7,hue,value,cp,LH,0
A7,hue,value,cp,MH,0
A7,hue,value,cp,LM,0
A7,sat,value,cp,LM,0
A7,sat,value,cp,LH,0
A7,sat,value,cp,MH,1
A7,sat,value,vs,3,0
A7,sat,value,vs,5,0
A7,sat,value,vs,1,0
A7,sat,grain,vs,1,1
A7,sat,grain,vs,5,0
A7,sat,grain,vs,3,1
A7,sat,grain,cp,LH,0
A7,sat,grain,cp,MH,0
A7,sat,grain,cp,LM,0
P2,width,value,vs,5,1
P2,width,value,vs,1,1
P2,width,value,vs,3,1
P2,width,value,cp,MH,1
P2,width,value,cp,LM,1
P2,width,value,cp,LH,1
P2,width,blur,cp,MH,1
P2,width,blur,cp,LH,1
P2,width,blur,cp,LM,1
P2,width,blur,vs,1,1
P2,width,blur,vs,5,1
P2,width,blur,vs,3,0
P2,width,grain,vs,3,1
P2,width,grain,vs,1,1
P2,width,grain,vs,5,1
P2,width,grain,cp,LH,1
P2,width,grain,cp,MH,1
P2,width,grain,cp,LM,1
P2,width,trans,cp,MH,1
P2,width,trans,cp,LH,1
P2,width,trans,cp,LM,0
P2,width,trans,vs,5,1
P2,width,trans,vs,3,1
P2,width,trans,vs,1,1
P2,sat,value,vs,5,1
P2,sat,value,vs,1,1
P2,sat,value,vs,3,1
P2,sat,value,cp,LM,1
P2,sat,value,cp,MH,1
P2,sat,value,cp,LH,1
P2,sat,blur,cp,LM,1
P2,sat,blur,cp,LH,1
P2,sat,blur,cp,MH,1
P2,sat,blur,vs,1,1
P2,sat,blur,vs,3,0
P2,sat,blur,vs,5,0
P2,sat,grain,vs,1,1
P2,sat,grain,vs,5,1
P2,sat,grain,vs,3,1
P2,sat,grain,cp,LM,1
P2,sat,grain,cp,MH,1
P2,sat,grain,cp,LH,1
P2,sat,trans,cp,LH,1
P2,sat,trans,cp,MH,1
P2,sat,trans,cp,LM,1
P2,sat,trans,vs,1,1
P2,sat,trans,vs,5,0
P2,sat,trans,vs,3,1
P2,hue,value,vs,3,1
P2,hue,value,vs,5,0
P2,hue,value,vs,1,1
P2,hue,value,cp,LM,1
P2,hue,value,cp,MH,1
P2,hue,value,cp,LH,1
P2,hue,blur,cp,MH,1
P2,hue,blur,cp,LM,1
P2,hue,blur,cp,LH,1
P2,hue,blur,vs,5,1
P2,hue,blur,vs,1,0
P2,hue,blur,vs,3,1
P2,hue,grain,vs,5,1
P2,hue,grain,vs,1,0
P2,hue,grain,vs,3,1
P2,hue,grain,cp,LM,1
P2,hue,grain,cp,LH,1
P2,hue,grain,cp,MH,1
P2,hue,trans,cp,MH,1
P2,hue,trans,cp,LH,1
P2,hue,trans,cp,LM,0
P2,hue,trans,vs,1,1
P2,hue,trans,vs,5,1
P2,hue,trans,vs,3,0
